,county,max_votes_2016_2000,mean_votes_2016_2000,std_votes_2016_2000,std_3_plus,std_2_plus,std_1_plus,votes_2020,num_std_above_mean_2016_2000,percent_diff_2020_max,votes_2016,votes_2012,votes_2008,votes_2004,votes_2000
56,Washtenaw,188578,174697,15864.314954009202,222289,206425,190561,216924,2.6617600648005584,0.15031445873855911,188578,179592,187115,173264,144940
57,Luce,2829,2656,110.3757219681937,2987,2876,2766,3107,4.086043488168185,0.09826793920113114,2579,2596,2740,2829,2536
58,Calhoun,64196,59834,3249.40367452245,69582,66332,63083,65568,1.7646314752945247,0.021372048102685524,58902,58327,64196,62667,55080
59,Benzie,10309,9657,817.012264289833,12108,11291,10474,12259,3.18477471358612,0.18915510718789408,10228,9901,10309,9778,8072
60,Cheboygan,13901,13477,480.21978301606856,14917,14437,13957,15849,4.939405005563111,0.1401338033235019,13672,13311,13901,13887,12617
61,Ingham,142729,131085,7205.266046441311,152700,145495,138290,144797,1.9030525606715623,0.01448899662997709,131138,127910,142729,133053,120595
62,Manistee,13009,12435,541.2084995637078,14058,13517,12976,14654,4.10008342771563,0.12645091859481897,12599,12402,13009,12740,11428
63,Lapeer,45362,43008,2997.3250340928994,51999,49002,46005,52639,3.2131983987231116,0.16042061637493937,45183,43115,45362,44147,37234
64,Delta,19238,18432,699.148052990209,20529,19830,19131,21154,3.8933098481189927,0.09959455244827944,18492,18050,19064,19238,17316
65,Muskegon,84271,77621,4970.964051368708,92533,87562,82591,94497,3.394914915016002,0.12134660796715359,78088,76163,84271,80313,69270
66,Saginaw,104090,98616,4249.482415541921,111364,107114,102865,103326,1.1083702765244532,-0.007339802094341435,94320,98062,104090,102852,93756
67,St. Joseph,25702,24012,1328.8368748646315,27998,26669,25340,27982,2.9875751306227287,0.08870904987938681,23757,23341,25702,25239,22024
68,Mackinac,6599,6232,230.7131552382742,6924,6693,6462,6922,2.990726728553415,0.04894681012274587,6097,6099,6396,6599,5970
69,Genesee,219896,204753,10755.619238333049,237019,226264,215508,222969,1.693626335811344,0.013974788081638594,196296,202933,219896,213775,190865
70,Montmorency,5563,5245,227.85892016772132,5928,5700,5472,5863,2.712204549837704,0.053927736832644256,5009,5051,5360,5563,5009
71,Mason,15223,14427,742.4665379665269,16654,15911,15169,17249,3.8008446922455463,0.13308809038954214,14685,14604,15223,14611,13016
